anonymised_participant_id,extract_id,response,suggestion
unknown_2a,H99,Niet omstreden,
unknown_2b,H99,Niet omstreden,
unknown_2c,H99,Niet omstreden,
unknown_2d,H99,Niet omstreden,
unknown_2e,H99,Niet omstreden,
unknown_2f,H99,Niet omstreden,
unknown_2g,H99,Niet omstreden,
unknown_2a,H98,Niet omstreden,
unknown_2b,H98,Niet omstreden,
unknown_2c,H98,Weet ik niet,
unknown_2d,H98,Onleesbare OCR,
unknown_2e,H98,Onleesbare OCR,
unknown_2f,H98,Onleesbare OCR,
unknown_2g,H98,Onleesbare OCR,
unknown_2a,H97,Niet omstreden,
unknown_2b,H97,Omstreden naar huidige maatstaven,ander ras nodig
unknown_2c,H97,Weet ik niet,personen van ander ras
unknown_2d,H97,Omstreden naar huidige maatstaven,
unknown_2e,H97,Niet omstreden,
unknown_2f,H97,Weet ik niet,
unknown_2g,H97,Niet omstreden,ras
unknown_2a,H96,Weet ik niet,
unknown_2b,H96,Omstreden naar huidige maatstaven,
unknown_2c,H96,Omstreden naar huidige maatstaven,
unknown_2d,H96,Omstreden naar huidige maatstaven,
unknown_2e,H96,Omstreden naar huidige maatstaven,
unknown_2f,H96,Omstreden naar huidige maatstaven,
unknown_2g,H96,Omstreden naar huidige maatstaven,
unknown_2a,H95,Niet omstreden,
unknown_2b,H95,Niet omstreden,
unknown_2c,H95,Niet omstreden, een mindere
unknown_2d,H95,Niet omstreden,
unknown_2e,H95,Niet omstreden,
unknown_2f,H95,Niet omstreden,
unknown_2g,H95,Niet omstreden,
unknown_2a,H94,Niet omstreden,
unknown_2b,H94,Niet omstreden,
unknown_2c,H94,Niet omstreden,
unknown_2d,H94,Omstreden naar huidige maatstaven,
unknown_2e,H94,Niet omstreden,
unknown_2f,H94,Niet omstreden,
unknown_2g,H94,Niet omstreden,
unknown_2a,H93,Niet omstreden,
unknown_2b,H93,Niet omstreden,
unknown_2c,H93,Niet omstreden,
unknown_2d,H93,Niet omstreden,
unknown_2e,H93,Niet omstreden,
unknown_2f,H93,Niet omstreden,
unknown_2g,H93,Niet omstreden,
unknown_2a,H92,Niet omstreden,
unknown_2b,H92,Niet omstreden,
unknown_2c,H92,Niet omstreden,
unknown_2d,H92,Niet omstreden,
unknown_2e,H92,Niet omstreden,
unknown_2f,H92,Niet omstreden,
unknown_2g,H92,Niet omstreden,
unknown_2a,H91,Omstreden naar huidige maatstaven,
unknown_2b,H91,Omstreden naar huidige maatstaven,afgod
unknown_2c,H91,Omstreden naar huidige maatstaven,
unknown_2d,H91,Omstreden naar huidige maatstaven,
unknown_2e,H91,Omstreden naar huidige maatstaven,
unknown_2f,H91,Omstreden naar huidige maatstaven,
unknown_2g,H91,Omstreden naar huidige maatstaven,
unknown_2a,H90,Niet omstreden,
unknown_2b,H90,Niet omstreden,
unknown_2c,H90,Weet ik niet,
unknown_2d,H90,Niet omstreden,
unknown_2e,H90,Niet omstreden,
unknown_2f,H90,Weet ik niet,
unknown_2g,H90,Weet ik niet,
unknown_1a,H9,Omstreden naar huidige maatstaven,ras
unknown_1b,H9,Niet omstreden,
unknown_1d,H9,Niet omstreden,ras
unknown_1e,H9,Omstreden naar huidige maatstaven,
unknown_1f,H9,Niet omstreden,
unknown_1g,H9,Niet omstreden,
unknown_2a,H89,Omstreden naar huidige maatstaven,
unknown_2b,H89,Omstreden naar huidige maatstaven,
unknown_2c,H89,Omstreden naar huidige maatstaven,
unknown_2d,H89,Niet omstreden,
unknown_2e,H89,Omstreden naar huidige maatstaven,
unknown_2f,H89,Omstreden naar huidige maatstaven,
unknown_2g,H89,Omstreden naar huidige maatstaven,
unknown_2a,H88,Niet omstreden,
unknown_2b,H88,Niet omstreden,
unknown_2c,H88,Niet omstreden,
unknown_2d,H88,Niet omstreden,
unknown_2e,H88,Niet omstreden,
unknown_2f,H88,Niet omstreden,
unknown_2g,H88,Niet omstreden,
unknown_2a,H87,Omstreden naar huidige maatstaven,
unknown_2b,H87,Niet omstreden,
unknown_2c,H87,Niet omstreden,
unknown_2d,H87,Niet omstreden,
unknown_2e,H87,Niet omstreden,
unknown_2f,H87,Niet omstreden,
unknown_2g,H87,Niet omstreden,
unknown_2a,H86,Niet omstreden,
unknown_2b,H86,Onleesbare OCR,
unknown_2c,H86,Niet omstreden,
unknown_2d,H86,Onleesbare OCR,
unknown_2e,H86,Omstreden naar huidige maatstaven,
unknown_2f,H86,Niet omstreden,
unknown_2g,H86,Onleesbare OCR,
unknown_2a,H85,Niet omstreden,
unknown_2b,H85,Niet omstreden,
unknown_2c,H85,Niet omstreden,
unknown_2d,H85,Niet omstreden,
unknown_2e,H85,Niet omstreden,
unknown_2f,H85,Niet omstreden,
unknown_2g,H85,Niet omstreden,
unknown_2a,H84,Niet omstreden,
unknown_2b,H84,Niet omstreden,Muzelmannen
unknown_2c,H84,Niet omstreden,"Muzelmannen,"
unknown_2d,H84,Niet omstreden,Muzelmannen
unknown_2e,H84,Niet omstreden,
unknown_2f,H84,Niet omstreden,
unknown_2g,H84,Niet omstreden,
unknown_2a,H83,Niet omstreden,
unknown_2b,H83,Niet omstreden,
unknown_2c,H83,Omstreden naar huidige maatstaven,
unknown_2d,H83,Niet omstreden,
unknown_2e,H83,Niet omstreden,
unknown_2f,H83,Omstreden naar huidige maatstaven,
unknown_2g,H83,Niet omstreden,
unknown_2a,H82,Weet ik niet,
unknown_2b,H82,Niet omstreden,
unknown_2c,H82,Weet ik niet,
unknown_2d,H82,Weet ik niet,
unknown_2e,H82,Omstreden naar huidige maatstaven,
unknown_2f,H82,Weet ik niet,
unknown_2g,H82,Omstreden naar huidige maatstaven,
unknown_2a,H81,Niet omstreden,
unknown_2b,H81,Niet omstreden,
unknown_2c,H81,Niet omstreden,
unknown_2d,H81,Niet omstreden,
unknown_2e,H81,Niet omstreden,
unknown_2f,H81,Niet omstreden,
unknown_2g,H81,Niet omstreden,
unknown_2a,H80,Omstreden naar huidige maatstaven,
unknown_2b,H80,Niet omstreden,
unknown_2c,H80,Omstreden naar huidige maatstaven,
unknown_2d,H80,Omstreden naar huidige maatstaven,
unknown_2e,H80,Omstreden naar huidige maatstaven,
unknown_2f,H80,Omstreden naar huidige maatstaven,
unknown_2g,H80,Weet ik niet,
unknown_1a,H8,Omstreden naar huidige maatstaven,
unknown_1b,H8,Omstreden naar huidige maatstaven,
unknown_1d,H8,Omstreden naar huidige maatstaven,
unknown_1e,H8,Niet omstreden,
unknown_1f,H8,Omstreden naar huidige maatstaven,
unknown_1g,H8,Omstreden naar huidige maatstaven,
unknown_2a,H79,Weet ik niet,
unknown_2b,H79,Niet omstreden,negers
unknown_2c,H79,Weet ik niet,
unknown_2d,H79,Weet ik niet,negers
unknown_2e,H79,Omstreden naar huidige maatstaven,slaven 
unknown_2f,H79,Weet ik niet,
unknown_2g,H79,Omstreden naar huidige maatstaven,"negers, slaven"
unknown_2a,H78,Niet omstreden,
unknown_2b,H78,Niet omstreden,
unknown_2c,H78,Niet omstreden,
unknown_2d,H78,Niet omstreden,
unknown_2e,H78,Niet omstreden,
unknown_2f,H78,Niet omstreden,
unknown_2g,H78,Niet omstreden,
unknown_2a,H77,Omstreden naar huidige maatstaven,
unknown_2b,H77,Omstreden naar huidige maatstaven,
unknown_2c,H77,Omstreden naar huidige maatstaven,
unknown_2d,H77,Omstreden naar huidige maatstaven,
unknown_2e,H77,Omstreden naar huidige maatstaven,
unknown_2f,H77,Omstreden naar huidige maatstaven,
unknown_2g,H77,Onleesbare OCR,
unknown_2a,H76,Niet omstreden,
unknown_2b,H76,Onleesbare OCR,
unknown_2c,H76,Niet omstreden,
unknown_2d,H76,Niet omstreden,wijfjes
