anonymised_participant_id,time_taken,age,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
6,1706.397,48,Netherlands,Netherlands,DATA EXPIRED,Dutch,"Dutch, German, English",Germany,Male,DATA EXPIRED
5,1307.182,24,Netherlands,Netherlands,Unemployed (and job seeking),Dutch,"English, German, Dutch",Netherlands,Male,No
3,1909.302,20,Netherlands,Netherlands,Part-Time,Spanish,"Dutch, English, Spanish",Netherlands,DATA EXPIRED,No
13,3560.032,29,Belgium,Belgium,Full-Time,Dutch,"Dutch, English, French",Belgium,Male,No
0,523.194,32,Netherlands,Netherlands,Part-Time,Dutch,"English, Dutch",Netherlands,Female,No
1,2056.226,30,Belgium,Belgium,DATA EXPIRED,Dutch,"Dutch, English, French, German, Arabic",Belgium,Female,DATA EXPIRED
12,1152.704,24,South Africa,South Africa,Full-Time,English,"Dutch, English, French, Swahili, Esperanto",South Africa,Female,No
11,1632.177,48,DATA EXPIRED,Netherlands,Full-Time,Dutch,"Dutch, English, German",Netherlands,DATA EXPIRED,No
10,3409.077,26,Netherlands,Netherlands,DATA EXPIRED,Dutch,"Dutch, Farsi, English",Netherlands,Male,DATA EXPIRED
9,1140.859,23,Malawi,Netherlands,Unemployed (and job seeking),Dutch,"English, Dutch",Netherlands,Female,Yes
8,642.917,38,Belgium,Belgium,Unemployed (and job seeking),Dutch,Dutch,Belgium,Male,No
7,420.653,25,Belgium,Belgium,Full-Time,Dutch,"Dutch, English",Belgium,Female,No
20,852.83,18,Netherlands,Netherlands,Part-Time,Dutch,"Dutch, English",Netherlands,Male,Yes
18,343.839,20,Netherlands,Netherlands,Part-Time,Dutch,"English, Dutch",Netherlands,Female,No
17,604.015,24,Belgium,Belgium,Other,Dutch,"English, Dutch",Belgium,Male,Yes
16,615.891,26,Netherlands,Netherlands,Full-Time,Dutch,"English, Dutch",Netherlands,Male,No
15,1011.657,25,Belgium,Belgium,DATA EXPIRED,Dutch,"Dutch, English",Belgium,Male,DATA EXPIRED
28,1867.309,26,Netherlands,Netherlands,DATA EXPIRED,DATA EXPIRED,"Chinese, English, Dutch",Netherlands,Female,DATA EXPIRED
27,813.908,22,Belgium,Belgium,Other,Dutch,"English, Dutch",Belgium,Male,Yes
26,563.13,21,Netherlands,Netherlands,DATA EXPIRED,Dutch,"Dutch, English",Netherlands,Male,DATA EXPIRED
25,1134.696,26,Netherlands,Netherlands,Unemployed (and job seeking),Dutch,"English, Dutch",Netherlands,Male,Yes
24,1147.568,35,Netherlands,Netherlands,Part-Time,Dutch,Dutch,Netherlands,Female,No
21,680.346,23,Lebanon,France,Other,Arabic,"Arabic, English, French, German, Italian, Portuguese, Russian, Spanish, Swedish, Dutch, Danish",Lebanon,Male,Yes
23,623.833,47,Belgium,Belgium,Part-Time,Dutch,"Dutch, English, French, German",Belgium,Female,No
34,1026.675,35,Belgium,Belgium,Full-Time,Dutch,"Dutch, English, French",Belgium,Male,DATA EXPIRED
33,859.304,35,Netherlands,Netherlands,Unemployed (and job seeking),Dutch,"Dutch, English",Netherlands,Female,No
32,1672.877,20,Belgium,Belgium,Other,Dutch,"Dutch, English",Belgium,Female,Yes
