,extract_id,target,target_compound,target_compound_bolded,text,url
0,H99,gemengd,gemengd,𝙜𝙚𝙢𝙚𝙣𝙜𝙙," Hollandsche IJzeren Spoorweg-Maatschappij een vijftal rijtuigen, 𝙜𝙚𝙢𝙚𝙣𝙜𝙙 eerste en tweede klasse, die zóó schoon zijn afgewerkt, dat zij m",https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010990094:mpeg21:a0074
1,H98,berber,BerBer,𝘽𝙚𝙧𝘽𝙚𝙧,"n geslaagd Erf«eLeeiste.Bedee,,e van bet arts-exa- D , i% teï?1 b •𝘽𝙚𝙧𝘽𝙚𝙧 en A-J-H- Sonnensi«nV , (Technische Hoogeschool.)GewJË, JE?'.het P",https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:011037471:mpeg21:a0129
2,H97,indo-europeaan,Indo-Europeaan,𝙄𝙣𝙙𝙤-𝙀𝙪𝙧𝙤𝙥𝙚𝙖𝙖𝙣,en waardoor het eerste doel wordt voorbijgestreefd om voor den 𝙄𝙣𝙙𝙤-𝙀𝙪𝙧𝙤𝙥𝙚𝙖𝙖𝙣 een speciale eigen werkingssfeer te scheppen.Intusschen is het,https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:110637922:mpeg21:a0114
3,H96,halfbloed,halfbloed,𝙝𝙖𝙡𝙛𝙗𝙡𝙤𝙚𝙙," de Dandy glimlachend.En onder zijn glimlach trof hij een zwaren 𝙝𝙖𝙡𝙛𝙗𝙡𝙤𝙚𝙙 onder het oor, zag hem vajlen, stapte op zijn roerloze lichaam e",https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010940044:mpeg21:a0081
4,H95,moslim,moslim,𝙢𝙤𝙨𝙡𝙞𝙢,"s lieten liggen en. waarvan vijf herkenbaar waren, was slechts één 𝙢𝙤𝙨𝙡𝙞𝙢, genaamd Imeum Asan van Bewingén, een der pauglima's van de bende.",https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010967647:mpeg21:a0084
5,H94,primitief,primitief,𝙥𝙧𝙞𝙢𝙞𝙩𝙞𝙚𝙛,genomen Aan de reisfaciliteiten kwam een einde.De verzorging was 𝙥𝙧𝙞𝙢𝙞𝙩𝙞𝙚𝙛 en de reizigers hadden voo'al gebr°k aan water.Voor Haifa bleef ,https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:011062266:mpeg21:a0134
6,H93,historisch,historisch,𝙝𝙞𝙨𝙩𝙤𝙧𝙞𝙨𝙘𝙝,"ts Jr., een jonge Htrechtsche doctor dezer dagen een zeer aardig 𝙝𝙞𝙨𝙩𝙤𝙧𝙞𝙨𝙘𝙝 overzicht laten verschijnen.(1) Zijn dissertatie is trouwens wel",https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010012275:mpeg21:a0188
7,H92,bediende,bediende,𝙗𝙚𝙙𝙞𝙚𝙣𝙙𝙚,"gen schorsing, wat beteekent een geldverlies van 'ruim f 35.J Een 𝙗𝙚𝙙𝙞𝙚𝙣𝙙𝙚 en een kok worden onder schafttijd door de heer de Sturler aanget",https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010341850:mpeg21:a0047
8,H91,eskimo,Eskimo's,𝙀𝙨𝙠𝙞𝙢𝙤𝘜𝙨,"illende herkomst, ten geschenke ontvangen: Model van een huis der 𝙀𝙨𝙠𝙞𝙢𝙤𝘜𝙨; 1 metalen beeldje, Ceylon; 1 houten afgod, Ceylon; 2 manden, Cey",https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010161672:mpeg21:a0013
9,H90,indo-europeaan,Indo-Europeaan,𝙄𝙣𝙙𝙤-𝙀𝙪𝙧𝙤𝙥𝙚𝙖𝙖𝙣,"t lEV Sl\W ¥*2 ""wylling te bestryden. omdat de positie'van den 𝙄𝙣𝙙𝙤-𝙀𝙪𝙧𝙤𝙥𝙚𝙖𝙖𝙣 alleen door het voorkomen ervan reed» verzwakt wordt.Zij is ee",https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010030536:mpeg21:a0224
