url,europeana_issue_id,datestamp,date,publisher,spatial_distribution,spatial_origin,languages
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:011151960:mpeg21:a0104,/9200359/BibliographicResource_3000115807596,2021-01-06T06:26:48.057Z,1925-02-06,C.Misset,Regionaal/lokaal,Doetinchem,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:011214444:mpeg21:a0001,/9200359/BibliographicResource_3000115809337,2021-01-06T16:08:17.966Z,1894-08-12,Timmerman,Suriname,[Paramaribo],nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010539367:mpeg21:a0078,/9200359/BibliographicResource_3000115657642,2021-01-05T23:19:12.030Z,1938-05-23,Gebr. Verhoeven,Landelijk,s-Hertogenbosch,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:110578556:mpeg21:a0209,/9200359/BibliographicResource_3000115864663,2021-01-06T09:38:45.013Z,1940-01-20,Dagblad De Telegraaf,Landelijk,Amsterdam,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010037004:mpeg21:a0154,/9200359/BibliographicResource_3000112883692,2021-01-07T01:16:26.367Z,1919-10-31,Nĳgh,Landelijk,Rotterdam,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010008390:mpeg21:a0013,/9200359/BibliographicResource_3000112894387,2021-01-06T23:01:57.484Z,1923-04-06,M. Nĳhoff [etc.],Landelijk,s-Gravenhage,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:011211898:mpeg21:a0008,/9200359/BibliographicResource_3000115776972,2021-01-06T05:25:44.475Z,1892-06-11,NV Paulus Drukkerĳ,Nederlandse Antillen,[Willemstad,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:110638006:mpeg21:a0139,/9200359/BibliographicResource_3000115940679,2021-01-06T12:49:53.916Z,1930-11-26,Kolff & Co,Nederlands-Indië / Indonesië,Soerabaja,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010296025:mpeg21:a0004,/9200359/BibliographicResource_3000100586133,2021-01-06T16:52:30.968Z,1915-06-07,A.W. Sĳthoff,Regionaal/lokaal,Rotterdam,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010028152:mpeg21:a0158,/9200359/BibliographicResource_3000112877659,2021-01-07T00:25:54.298Z,1925-11-29,Nĳgh,Landelijk,Rotterdam,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:110620404:mpeg21:a0094,/9200359/BibliographicResource_3000115943213,2021-01-06T15:29:52.392Z,1893-10-17,"Roost, Hoogesteger & Co.",Verenigde Staten,[s.l.],nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:011180495:mpeg21:a0052,/9200359/BibliographicResource_3000115617266,2021-01-06T15:45:24.564Z,1900-12-26,The Heyrman Pub. Co,Verenigde Staten,"De Pere, Brown, Wisconsin",nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:011215569:mpeg21:a0005,/9200359/BibliographicResource_3000115792921,2021-01-06T16:11:20.828Z,1906-03-04,Timmerman,Suriname,[Paramaribo],nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010008215:mpeg21:a0190,/9200359/BibliographicResource_3000112868944,2021-01-07T09:36:28.443Z,1922-12-20,M. Nĳhoff [etc.],Landelijk,s-Gravenhage,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:011131153:mpeg21:a0138,/9200359/BibliographicResource_3000115959884,2021-01-06T13:36:22.795Z,1940-11-22,H. de Hoogh en Co.,Landelijk,Amsterdam,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010662396:mpeg21:a0113,/9200359/BibliographicResource_3000112811317,2021-01-07T07:12:43.334Z,1940-08-08,P. den Hengst en Zoon [etc.],Landelijk,Amsterdam,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010600787:mpeg21:a0120,/9200359/BibliographicResource_3000115457600,2021-01-05T19:47:40.153Z,1916-10-09,D.R. Smeding en M. Koon,Regionaal/lokaal,Leeuwarden,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010942756:mpeg21:a0042,/9200359/BibliographicResource_3000115726265,2021-01-06T03:03:05.193Z,1938-04-26,Arbeiderspers,Regionaal/lokaal,Amsterdam,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010008504:mpeg21:a0175,/9200359/BibliographicResource_3000112884894,2021-01-07T01:14:37.273Z,1923-06-11,M. Nĳhoff [etc.],Landelijk,s-Gravenhage,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:011026039:mpeg21:a0146,/9200359/BibliographicResource_3000115799717,2021-01-06T06:14:44.001Z,1940-05-23,Bomans en Co.,Regionaal/lokaal,Haarlem,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010213532:mpeg21:a0003,/9200359/BibliographicResource_3000112928305,2021-01-07T00:55:06.640Z,1905-01-02,A.W. Sĳthoff,Regionaal/lokaal,Rotterdam,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010882837:mpeg21:a0003,/9200359/BibliographicResource_3000115472410,2021-01-05T17:45:30.348Z,1911-03-29,Nieuwenhuis,Regionaal/lokaal,Groningen,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:110620516:mpeg21:a0181,/9200359/BibliographicResource_3000115943333,2021-01-06T15:30:22.392Z,1895-12-17,"Roost, Hoogesteger & Co.",Verenigde Staten,[s.l.],nl
