batch,k_alpha_2,num_annotators
batch_1,0.532,6
batch_2,0.409,5
batch_3,0.405,5
batch_4,0.554,7
batch_5,zero division,1
batch_6,0.586,7
batch_7,0.606,5
batch_8,0.599,6
batch_9,0.57,5
batch_10,0.482,7
batch_11,0.649,6
batch_12,0.494,6
batch_13,0.563,6
batch_14,0.531,6
batch_15,0.599,2
batch_16,0.546,6
batch_17,0.386,9
batch_18,0.459,7
batch_19,0.516,6
batch_20,0.443,7
batch_21,0.481,8
batch_22,0.413,6
batch_23,0.439,6
batch_24,0.519,6
batch_25,0.431,7
batch_26,zero division,1
batch_27,0.4,4
batch_28,0.442,7
batch_29,0.56,4
batch_30,0.504,7
batch_31,0.52,5
batch_32,0.388,7
batch_33,0.566,6
batch_34,0.506,5
batch_35,0.416,6
batch_36,0.421,7
batch_37,0.645,7
batch_38,0.446,5
batch_39,0.625,7
batch_40,0.433,7
batch_41,0.421,6
batch_42,0.27,4
batch_43,0.65,4
batch_44,0.526,6
batch_45,0.356,8
batch_46,0.366,7
batch_47,0.421,7
batch_48,0.416,5
batch_49,0.536,6
batch_50,zero division,1
batch_51,0.393,7
batch_52,0.549,7
batch_53,0.325,9
batch_54,0.4,7
batch_55,0.413,8
batch_56,0.533,3
batch_57,0.498,6
batch_58,0.524,5
batch_59,0.65,7
batch_60,0.502,7
