target,n_samples,omstr,niet,idk,ocr,no_majority
kwinti,5,0,100,0,0,0
metis,21,0,100,0,0,0
barbarlje,3,0,100,0,0,0
gay,2,0,100,0,0,0
inuit,17,0,100,0,0,0
etniciteit,3,0,100,0,0,0
roma,3,0,100,0,0,0
westers,22,0,100,0,0,0
roots,22,0,100,0,0,0
medicijnman,21,0,100,0,0,0
stam,23,0,100,0,0,0
lesbisch,11,0,97.1,0,2.17,0.72
page,23,0,97.09,0,1.94,0.97
tovenaar,15,0,97.04,0,1.48,1.48
afkomst,22,0,96.35,0,3.65,0
traditioneel,22,0,95.83,0,4.17,0
wild,24,0,95.45,0,4.55,0
aziatisch,137,0,95.45,0,4.55,0
historisch,135,0,93.33,0,6.67,0
traditionele,103,0,91.3,8.7,0,0
achtergrond,138,0,90.91,0,0,9.09
allochtoon,1,0,86.96,0,8.7,4.35
batavia,2,0,85.71,0,0,14.29
bediende,23,0,81.82,0,13.64,4.55
birma,1,0,77.27,0,4.55,18.18
indisch,25,0,66.67,0,33.33,0
jakarta,5,0,66.67,0,33.33,0
kaukasisch,20,0,58.82,0,29.41,11.76
mohemmedaan,1,0,50,0,50,0
ontdekken,22,0,33.33,0,33.33,33.33
trans,2,0,14.29,47.62,23.81,14.29
zimbabwe,4,0,0,40,60,0
gemengd,138,1.45,92.03,0,4.35,2.17
moslim,133,1.5,92.48,0.75,1.5,3.76
dwerggroei,50,2,90,0,2,6
marron,145,2.07,37.24,26.21,21.38,13.1
exotisch,24,4.17,87.5,0,4.17,4.17
berber,23,4.35,78.26,0,13.04,4.35
primitief,22,4.55,86.36,0,9.09,0
inheems,132,4.55,82.58,0.76,6.06,6.06
moor,22,4.55,59.09,13.64,9.09,13.64
queer,22,4.55,50,0,31.82,13.64
afgod,21,4.76,95.24,0,0,0
mesties,21,4.76,9.52,52.38,4.76,28.57
kokkie,18,5.56,61.11,16.67,11.11,5.56
baboe,24,8.33,12.5,45.83,16.67,16.67
gekleurd,22,9.09,90.91,0,0,0
indo-europeaan,99,9.09,83.84,2.02,0,5.05
handicap,22,9.09,81.82,0,4.55,4.55
homo,22,9.09,68.18,0,9.09,13.64
indo,25,12,60,0,12,16
barbaar,23,13.04,69.57,0,8.7,8.7
boesman,15,13.33,53.33,20,0,13.33
onbeschaafd,22,13.64,68.18,0,13.64,4.55
aboriginal,13,15.38,76.92,0,7.69,0
blank,26,15.38,73.08,0,3.85,7.69
islamiet,19,15.79,78.95,0,0,5.26
koelie,22,18.18,4.55,50,13.64,13.64
inlandsche,21,19.05,66.67,0,0,14.29
ras,22,22.73,59.09,0,9.09,9.09
koppensneller,22,22.73,54.55,9.09,4.55,9.09
knecht,25,24,68,0,0,8
volbloed,24,25,66.67,4.17,4.17,0
mongool,24,25,62.5,0,0,12.5
slavenschip,16,25,50,0,0,25
barbaren,24,29.17,62.5,0,0,8.33
mengras,10,30,40,20,0,10
inlander,22,31.82,50,4.55,0,13.64
indiaan,22,36.36,45.45,0,4.55,13.64
slaven,21,38.1,47.62,0,4.76,9.52
pygmee,21,38.1,33.33,0,0,28.57
muzelman,21,38.1,4.76,23.81,4.76,28.57
hottentot,23,39.13,21.74,4.35,0,34.78
mulat,22,40.91,0,13.64,4.55,40.91
slaaf,26,46.15,46.15,0,3.85,3.85
misvormden,19,47.37,36.84,0,0,15.79
eskimo,25,48,36,0,0,16
zigeunermuziek,12,50,33.33,0,0,16.67
kaffer,24,50,4.17,29.17,4.17,12.5
dwerg,27,51.85,37.04,0,3.7,7.41
zwartje,23,65.22,17.39,8.7,0,8.7
inboorling,21,66.67,9.52,4.76,0,19.05
halfbloed,22,68.18,27.27,0,0,4.55
zigeuner,27,70.37,14.81,3.7,0,11.11
lilliputter,23,78.26,8.7,0,0,13.04
aapman,6,100,0,0,0,0
bosneger,11,100,0,0,0,0
neger,27,100,0,0,0,0
negercultuur,7,100,0,0,0,0
negerrijk,10,100,0,0,0,0
negerslaven,22,100,0,0,0,0
