,x_anno,target,y_ls,ratio,maj_vote
0,35,achtergrond,"[0, 0]",0.0,0
1,35,afgod,[0],0.0,0
2,35,aziatisch,[0],0.0,0
3,35,berber,[0],0.0,0
4,35,blank,"[0, 0]",0.0,0
5,35,dwerg,[0],0.0,0
6,35,eskimo,"[1, 1]",1.0,1
7,35,exotisch,[0],0.0,0
8,35,gemengd,[0],0.0,0
9,35,halfbloed,"[0, 1]",0.5,0
10,35,historisch,"[0, 0]",0.0,0
11,35,homo,[0],0.0,0
12,35,hottentot,[0],0.0,0
13,35,indisch,[0],0.0,0
14,35,inheems,"[0, 0]",0.0,0
15,35,moslim,[0],0.0,0
16,35,neger,[1],1.0,1
17,35,ontdekken,[0],0.0,0
18,35,slaaf,"[0, 0]",0.0,0
19,35,slaven,[1],1.0,1
20,35,wild,[0],0.0,0
21,35,zigeunermuziek,[0],0.0,0
22,78,achtergrond,"[0, 0, 0]",0.0,0
23,78,afgod,[0],0.0,0
24,78,aziatisch,"[0, 0]",0.0,0
25,78,barbaar,[0],0.0,0
26,78,berber,[0],0.0,0
27,78,blank,"[0, 0]",0.0,0
28,78,dwerg,[1],1.0,1
29,78,eskimo,"[1, 1]",1.0,1
30,78,exotisch,[0],0.0,0
31,78,gemengd,[0],0.0,0
32,78,halfbloed,"[0, 0]",0.0,0
33,78,historisch,[0],0.0,0
34,78,homo,[0],0.0,0
35,78,hottentot,[1],1.0,1
36,78,indisch,[0],0.0,0
37,78,inheems,"[0, 0, 0]",0.0,0
38,78,moslim,[0],0.0,0
39,78,mulat,[1],1.0,1
40,78,neger,[1],1.0,1
41,78,ontdekken,[0],0.0,0
42,78,slaaf,"[1, 0]",0.5,0
43,78,slaven,[1],1.0,1
44,78,stam,[1],1.0,1
45,78,wild,[0],0.0,0
46,78,zigeunermuziek,[1],1.0,1
47,124,achtergrond,"[0, 0, 0]",0.0,0
48,124,afkomst,[0],0.0,0
49,124,aziatisch,"[1, 1]",1.0,1
50,124,dwerg,[0],0.0,0
51,124,gemengd,"[0, 0]",0.0,0
52,124,handicap,[1],1.0,1
53,124,historisch,"[0, 0]",0.0,0
54,124,homo,[1],1.0,1
55,124,inheems,"[0, 0, 0]",0.0,0
56,124,inlandsche,[0],0.0,0
57,124,islamiet,[1],1.0,1
58,124,kaffer,[1],1.0,1
59,124,knecht,"[0, 0]",0.0,0
60,124,kokkie,[0],0.0,0
61,124,koppensneller,[0],0.0,0
62,124,medicijnman,[0],0.0,0
63,124,mongool,[0],0.0,0
64,124,moslim,[1],1.0,1
65,124,muzelman,[1],1.0,1
66,124,neger,"[1, 1]",1.0,1
67,124,onbeschaafd,[0],0.0,0
68,124,volbloed,[0],0.0,0
69,124,westers,"[0, 0]",0.0,0
70,124,zigeuner,[0],0.0,0
71,159,achtergrond,"[0, 0, 0]",0.0,0
72,159,aziatisch,"[0, 0]",0.0,0
73,159,bediende,[0],0.0,0
74,159,dwerg,[1],1.0,1
75,159,eskimo,[0],0.0,0
76,159,exotisch,[0],0.0,0
77,159,gekleurd,"[0, 0]",0.0,0
78,159,gemengd,"[0, 0, 0]",0.0,0
79,159,historisch,"[0, 0, 0]",0.0,0
80,159,indisch,[0],0.0,0
81,159,moslim,[0],0.0,0
82,159,neger,[1],1.0,1
83,159,primitief,[0],0.0,0
84,159,ras,"[0, 0]",0.0,0
85,159,stam,[0],0.0,0
86,159,wild,[0],0.0,0
87,198,achtergrond,"[0, 0, 0]",0.0,0
88,198,afgod,[1],1.0,1
89,198,aziatisch,"[0, 0]",0.0,0
90,198,bediende,[0],0.0,0
91,198,berber,[0],0.0,0
92,198,eskimo,[0],0.0,0
93,198,exotisch,[0],0.0,0
94,198,gekleurd,"[0, 0]",0.0,0
95,198,gemengd,"[0, 0]",0.0,0
96,198,handicap,[0],0.0,0
97,198,historisch,"[0, 0]",0.0,0
98,198,homo,[1],1.0,1
99,198,inboorling,[1],1.0,1
100,198,indisch,[0],0.0,0
101,198,inheems,"[1, 0]",0.5,0
102,198,muzelman,[1],1.0,1
103,198,neger,[1],1.0,1
104,198,primitief,[1],1.0,1
105,198,ras,[0],0.0,0
106,198,stam,"[0, 0]",0.0,0
107,198,wild,[0],0.0,0
108,198,zigeunermuziek,[1],1.0,1
109,236,achtergrond,"[0, 0, 0]",0.0,0
110,236,aziatisch,"[0, 0]",0.0,0
111,236,bediende,[0],0.0,0
112,236,berber,"[1, 0]",0.5,0
113,236,dwerg,[0],0.0,0
114,236,eskimo,[1],1.0,1
115,236,exotisch,[0],0.0,0
116,236,gekleurd,"[1, 0]",0.5,0
117,236,gemengd,"[0, 0]",0.0,0
118,236,historisch,"[0, 0, 0]",0.0,0
119,236,homo,[1],1.0,1
120,236,inboorling,[1],1.0,1
121,236,indisch,[0],0.0,0
122,236,inheems,"[1, 0]",0.5,0
123,236,kaffer,[1],1.0,1
124,236,neger,[1],1.0,1
125,236,primitief,[0],0.0,0
126,236,ras,[0],0.0,0
127,236,stam,[0],0.0,0
128,236,wild,[0],0.0,0
129,236,zigeunermuziek,[1],1.0,1
130,263,achtergrond,"[0, 0, 0]",0.0,0
131,263,afgod,[0],0.0,0
132,263,bediende,[0],0.0,0
133,263,dwerg,[0],0.0,0
134,263,eskimo,[0],0.0,0
135,263,exotisch,[0],0.0,0
136,263,gekleurd,"[0, 0]",0.0,0
137,263,handicap,[0],0.0,0
138,263,historisch,"[0, 0]",0.0,0
139,263,inheems,[1],1.0,1
140,263,koelie,[1],1.0,1
141,263,muzelman,[1],1.0,1
142,263,neger,[1],1.0,1
143,263,primitief,[0],0.0,0
144,263,zigeunermuziek,[1],1.0,1
145,313,achtergrond,"[0, 0, 0]",0.0,0
146,313,afgod,[1],1.0,1
147,313,aziatisch,"[0, 0]",0.0,0
